Code,Product label,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,average
'88,"Aircraft, spacecraft, and parts thereof",320230,338126,668730,598917,1773041,739808.8
'89,"Ships, boats and floating structures",239225,499801,406486,275396,427116,369604.8
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",8425384,7961988,7511309,7393009,7827053,7823748.6
'91,Clocks and watches and parts thereof,146339,171546,201478,263635,284437,213487
'92,Musical instruments; parts and accessories of such articles,27633,29948,27424,24352,52999,32471.2
'93,Arms and ammunition; parts and accessories thereof,483,3772,260,5069,23383,6593.4
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",1092330,1185860,1132290,1121381,3067285,1519829.2
'95,"Toys, games and sports requisites; parts and accessories thereof",321320,370643,445186,363727,1677017,635578.6
'96,Miscellaneous manufactured articles,953352,1137233,1118446,1142240,1805843,1231422.8
'97,"Works of art, collectors' pieces and antiques",4173,4060,1217,2784,23303,7107.4
'99,Commodities not elsewhere specified,2139161,4482713,6377285,7312032,4695358,5001309.8
